,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
366,karratha,-20.7377,116.8463,75.85,62,0,8.46,AU,1619382452
367,baiyin,36.5583,104.2081,37.4,93,90,4.47,CN,1619382173
368,pasni,25.2631,63.471,83.14,49,100,6.13,PK,1619382452
369,sapulpa,35.9987,-96.1142,78.8,36,1,18.41,US,1619382453
370,berlevag,70.8578,29.0864,32.0,69,75,9.22,NO,1619382453
371,patna,25.6,85.1167,71.6,30,20,5.57,IN,1619382335
372,cayenne,4.9333,-52.3333,84.2,74,90,11.5,GF,1619382453
373,gubkinskiy,64.434,76.5026,32.0,96,100,10.65,RU,1619382453
374,huarmey,-10.0681,-78.1522,72.66,73,9,9.15,PE,1619382454
375,zdice,49.9121,13.9775,41.0,70,0,8.05,CZ,1619382454
376,sorland,67.667,12.6934,35.6,87,75,4.61,NO,1619382454
377,ballina,-28.8667,153.5667,60.8,94,90,5.75,AU,1619382176
378,kirensk,57.7853,108.1119,30.11,93,100,5.91,RU,1619382454
379,xam nua,20.4197,104.0439,65.66,96,100,1.3,LA,1619382455
380,talcahuano,-36.7167,-73.1167,64.4,72,0,13.8,CL,1619382455
381,egvekinot,66.3167,-179.1667,24.84,88,19,2.91,RU,1619382455
382,rabaul,-4.1967,152.1721,80.31,79,94,2.51,PG,1619382455
383,tromso,69.6496,18.957,33.8,80,75,8.05,NO,1619382393
384,oriximina,-1.7656,-55.8661,83.57,79,85,3.29,BR,1619382455
385,alegrete,-29.7831,-55.7919,70.99,38,1,13.85,BR,1619382456
386,minatitlan,17.9833,-94.5167,86.0,70,75,11.5,MX,1619382456
387,batagay-alyta,67.8006,130.4114,12.31,89,100,5.93,RU,1619382456
388,pavlovsk,50.4578,40.1081,41.18,57,13,7.29,RU,1619382456
389,ngama,11.7833,17.1667,90.41,21,10,3.8,TD,1619382317
390,iralaya,15.0,-83.2333,84.43,62,14,11.27,HN,1619382457
391,ust-koksa,50.2696,85.6108,26.85,76,100,1.97,RU,1619382457
392,safakulevo,54.9901,62.5442,45.63,59,33,10.58,RU,1619382457
393,kenai,60.5544,-151.2583,51.8,43,1,5.75,US,1619382457
394,dicabisagan,17.0818,122.4157,74.3,84,54,4.81,PH,1619382458
395,beloha,-25.1667,45.05,72.88,79,0,6.71,MG,1619382458
396,tonj,7.2737,28.6822,77.59,69,100,6.8,SS,1619382458
397,samarai,-10.6167,150.6667,82.47,78,94,12.01,PG,1619382458
398,labuhan,-6.8844,112.2051,77.11,86,84,7.25,ID,1619382459
399,breves,-1.6822,-50.4803,81.88,83,83,3.4,BR,1619382459
400,caucaia,-3.7361,-38.6531,84.99,70,0,9.22,BR,1619382459
401,gisborne,-38.6533,178.0042,51.01,84,3,4.0,NZ,1619382459
402,weinan,34.5036,109.5089,50.0,100,90,4.47,CN,1619382459
403,caravelas,-17.7125,-39.2481,78.53,76,10,8.14,BR,1619382460
404,aksay,47.26,39.87,48.99,46,0,2.24,RU,1619382460
405,numaran,20.25,-101.9333,95.27,13,77,0.76,MX,1619382460
406,arman,59.7,150.1667,12.56,77,32,7.76,RU,1619382460
407,arlit,18.7369,7.3853,95.43,9,85,9.33,NE,1619382461
408,constitucion,-35.3333,-72.4167,64.71,62,4,15.12,CL,1619382357
409,luderitz,-26.6481,15.1594,62.31,90,97,3.78,NA,1619382461
410,xiaoshi,41.2971,124.1209,41.0,60,0,6.71,CN,1619382461
411,marawi,7.9986,124.2928,77.0,90,100,4.0,PH,1619382461
412,burns lake,54.2331,-125.7533,48.2,21,6,3.44,CA,1619382462
413,verkhoyansk,67.5447,133.385,20.64,96,99,3.38,RU,1619382462
414,ust-kuyga,70.0167,135.6,24.6,99,100,4.25,RU,1619382462
415,grand-santi,4.25,-54.3833,80.65,91,56,3.85,GF,1619382462
416,soe,-9.8607,124.284,60.57,85,100,2.84,ID,1619382463
417,merauke,-8.4667,140.3333,75.52,86,100,6.89,ID,1619382463
418,zlitan,32.4674,14.5687,62.73,74,0,12.88,LY,1619382463
419,limpapa,7.1197,121.9106,77.22,81,86,3.78,PH,1619382463
420,trairi,-3.2778,-39.2689,79.56,78,22,7.85,BR,1619382463
421,vao,-22.6667,167.4833,73.33,76,52,12.41,NC,1619382464
422,nortelandia,-14.4547,-56.8028,78.46,80,100,8.08,BR,1619382464
423,gangtok,27.3333,88.6167,55.47,61,18,6.35,IN,1619382464
424,laiyang,36.9758,120.7136,51.89,78,100,3.13,CN,1619382464
425,mao,39.8885,4.2658,59.0,82,0,14.97,ES,1619382465
426,linxia,35.6003,103.2064,40.23,84,1,0.49,CN,1619382465
427,lorengau,-2.0226,147.2712,79.23,83,53,6.35,PG,1619382465
428,calama,-22.4667,-68.9333,69.8,18,0,25.32,CL,1619382191
429,shimanovsk,52.0,127.7,41.97,43,100,6.71,RU,1619382465
430,tautira,-17.7333,-149.15,84.2,70,40,8.05,PF,1619382466
431,tahoua,14.8888,5.2692,96.8,17,0,1.72,NE,1619382466
432,paamiut,61.994,-49.6678,36.77,96,100,1.54,GL,1619382466
433,lagoa,39.05,-27.9833,59.31,81,98,13.94,PT,1619382466
434,kaohsiung,22.6163,120.3133,73.4,88,90,2.3,TW,1619382299
435,karatau,43.1667,70.4667,52.9,41,8,3.85,KZ,1619382467
436,new boston,42.9762,-71.694,52.0,77,100,1.12,US,1619382467
437,aiken,33.5835,-81.5998,75.99,46,75,8.05,US,1619382467
438,murgab,37.4966,61.9714,69.8,46,75,6.91,TM,1619382467
439,yulara,-25.2406,130.9889,53.6,54,0,6.91,AU,1619382467
440,gladstone,-23.85,151.25,60.8,82,0,6.91,AU,1619382468
441,luanda,-8.8368,13.2343,80.6,89,75,4.61,AO,1619382455
442,dunedin,-45.8742,170.5036,43.14,66,84,8.93,NZ,1619382468
443,san borja,-14.8167,-66.85,66.88,97,100,5.35,BO,1619382468
444,amapa,1.0,-52.0,71.4,98,100,5.5,BR,1619382468
445,katsuura,35.1333,140.3,50.0,43,20,21.85,JP,1619382469
446,george town,5.4112,100.3354,81.0,94,20,3.44,MY,1619382455
447,opuwo,-18.0607,13.84,70.11,44,48,4.43,NA,1619382469
448,nakhon phanom,17.3333,104.4167,77.65,72,95,3.71,TH,1619382469
449,kununurra,-15.7667,128.7333,62.6,88,96,1.14,AU,1619382469
450,asosa,10.0667,34.5333,64.15,84,100,4.47,ET,1619382470
451,miedzyrzecz,52.4446,15.578,41.0,48,0,3.44,PL,1619382470
452,iquitos,-3.7481,-73.2472,89.6,62,40,5.75,PE,1619382470
453,sitka,57.0531,-135.33,55.4,54,20,4.61,US,1619382470
454,bayburt,40.2589,40.2278,57.02,55,100,6.58,TR,1619382470
455,nishihara,26.1842,127.7558,66.2,88,20,7.76,JP,1619382471
456,shelburne,44.0787,-80.2041,41.0,80,88,19.19,CA,1619382461
457,krasnovishersk,60.4078,57.082,38.88,91,100,7.45,RU,1619382471
458,rosarito,32.3333,-117.0333,68.0,59,1,12.66,MX,1619382471
459,sao raimundo das mangabeiras,-7.0219,-45.4811,79.88,81,99,3.18,BR,1619382471
460,yelets,52.6237,38.5017,38.28,79,87,9.46,RU,1619382472
461,fort nelson,58.8053,-122.7002,51.8,22,20,4.61,CA,1619382472
462,port hedland,-20.3167,118.5667,64.4,88,0,8.05,AU,1619382472
463,lokosovo,61.1333,74.8167,34.09,98,80,7.23,RU,1619382472
464,antalaha,-14.9003,50.2788,72.34,90,100,5.84,MG,1619382473
465,bundaberg,-24.85,152.35,62.01,88,0,5.75,AU,1619382473
466,guiong,6.4186,122.0258,78.35,86,9,3.87,PH,1619382473
467,rumphi,-11.0186,33.8575,62.62,96,15,3.29,MW,1619382473
468,urucurituba,-2.6833,-57.6667,85.26,70,100,1.99,BR,1619382473
469,skjervoy,70.0311,20.9714,33.8,80,75,11.5,NO,1619382474
470,kailua,21.4022,-157.7394,82.4,65,75,13.8,US,1619382474
471,sangueya,10.7,-14.3667,79.59,58,2,7.2,GN,1619382474
472,tongzi,28.7829,105.0877,57.6,93,100,3.22,CN,1619382474
473,geraldton,-28.7667,114.6,62.6,63,0,10.36,AU,1619382475
474,jalpan,21.2333,-99.4833,93.51,23,98,6.02,MX,1619382475
475,chateaubelair,13.2833,-61.25,82.4,65,40,12.66,VC,1619382475
476,denpasar,-8.65,115.2167,78.8,89,20,4.61,ID,1619382383
477,san carlos,9.6612,-68.5827,96.58,31,100,6.69,VE,1619382475
478,chistogorskiy,53.9835,87.3843,32.61,92,78,3.56,RU,1619382476
479,biltine,14.5333,20.9167,90.07,23,99,5.32,TD,1619382476
480,puerto escondido,15.85,-97.0667,87.8,66,40,9.22,MX,1619382476
481,wittstock,53.1612,12.4829,35.01,59,0,1.01,DE,1619382476
482,arica,-18.475,-70.3042,69.8,60,0,11.5,CL,1619382465
483,nueva concepcion,14.2,-91.3,91.4,62,40,6.91,GT,1619382477
484,leh,34.1667,77.5833,32.94,32,10,2.73,IN,1619382477
485,barranca,-10.75,-77.7667,70.32,74,15,7.9,PE,1619382477
486,ca mau,9.1769,105.15,79.43,84,16,4.0,VN,1619382477
487,kamenka,51.3223,42.7678,41.0,55,9,8.37,RU,1619382477
488,richards bay,-28.783,32.0377,66.4,88,15,3.31,ZA,1619382478
489,fonte boa,-2.4959,-66.2662,82.98,80,100,3.56,BR,1619382478
490,oyama,36.3,139.8,54.0,52,20,5.75,JP,1619382478
491,kruisfontein,-34.0033,24.7314,72.75,38,100,5.53,ZA,1619382479
492,rincon,32.296,-81.2354,78.8,53,75,9.22,US,1619382479
493,songea,-10.6833,35.65,69.8,88,75,4.61,TZ,1619382479
494,lyuban,52.7985,28.0048,33.58,84,91,5.86,BY,1619382479
495,chunskiy,56.0815,99.6342,30.49,97,76,7.99,RU,1619382479
496,san diego de los banos,22.6467,-83.3697,86.52,53,93,1.57,CU,1619382480
497,imbituba,-28.24,-48.6703,73.4,78,75,9.22,BR,1619382480
498,nizhniy kuranakh,58.8353,125.4869,33.91,98,100,4.52,RU,1619382480
499,lages,-27.8161,-50.3261,60.51,91,60,4.85,BR,1619382480
500,sapele,5.8941,5.6767,80.56,83,73,5.44,NG,1619382481
501,kristiinankaupunki,62.2743,21.376,33.3,96,100,19.53,FI,1619382481
502,tezu,27.9167,96.1667,77.76,22,83,4.76,IN,1619382481
503,fare,-16.7,-151.0167,81.21,64,22,3.94,PF,1619382481
504,asyut,27.181,31.1837,86.0,28,0,14.97,EG,1619382482
505,trinidad,-14.8333,-64.9,73.4,78,90,16.11,BO,1619382482
506,sao jose da coroa grande,-8.8978,-35.1478,79.72,78,11,7.52,BR,1619382269
507,ziro,27.6333,93.8333,51.4,66,6,2.84,IN,1619382482
508,kutum,14.2,24.6667,80.82,15,18,7.87,SD,1619382482
509,conde,-7.2597,-34.9075,80.6,78,0,12.66,BR,1619382483
510,hamilton,39.1834,-84.5333,64.4,34,1,12.66,US,1619382304
511,serrinha,-11.6642,-39.0075,80.13,61,99,7.0,BR,1619382483
512,vestmanna,62.1564,-7.1664,44.6,100,100,12.66,FO,1619382364
513,road town,18.4167,-64.6167,84.2,58,40,9.22,VG,1619382483
514,vardo,70.3705,31.1107,33.8,69,20,13.8,NO,1619382483
515,almeirim,-1.5233,-52.5817,86.25,63,29,4.25,BR,1619382484
516,tabuk,17.4189,121.4443,69.49,87,22,2.66,PH,1619382477
517,brookings,44.3114,-96.7984,43.0,81,90,19.57,US,1619382484
518,shimoda,34.6667,138.95,48.0,45,58,1.99,JP,1619382484
519,gornyy,55.1153,83.9059,39.0,53,100,6.08,RU,1619382484
520,san policarpo,12.1791,125.5072,77.86,82,100,8.97,PH,1619382484
521,zavodouspenskoye,56.8626,65.0155,50.0,40,40,8.95,RU,1619382485
522,byron bay,-28.65,153.6167,60.8,94,90,5.75,AU,1619382485
523,zelenoborskiy,66.845,32.3622,30.99,100,94,12.37,RU,1619382485
524,mana,5.6592,-53.7767,80.38,82,66,10.85,GF,1619382485
525,itoman,26.1247,127.6694,66.2,77,20,6.91,JP,1619382486
526,katherine,-14.4667,132.2667,71.6,78,40,3.44,AU,1619382486
527,taguatinga,-12.3857,-46.5711,84.04,59,100,1.16,BR,1619382486
528,porto de moz,-1.7483,-52.2383,82.54,81,41,3.67,BR,1619382486
529,shenjiamen,29.9576,122.298,59.31,77,26,6.02,CN,1619382487
530,honiara,-9.4333,159.95,78.35,85,33,3.56,SB,1619382370
531,ozinki,51.1786,49.6769,41.09,57,5,7.56,RU,1619382249
532,taihe,30.8712,105.3845,56.48,89,100,2.71,CN,1619382487
533,igarka,67.4667,86.5833,4.3,99,92,7.87,RU,1619382487
534,fort thomas,39.0751,-84.4472,64.4,34,1,12.66,US,1619382212
535,novochernorechenskiy,56.2669,91.0828,34.3,98,100,3.85,RU,1619382487
536,namatanai,-3.6667,152.4333,78.98,82,84,2.13,PG,1619382488
537,oksfjord,70.2396,22.3479,33.8,64,75,4.61,NO,1619382488
538,vila franca do campo,37.7167,-25.4333,59.0,77,75,10.36,PT,1619382488
539,pekan,3.4836,103.3996,77.0,94,20,3.44,MY,1619382488
540,bad kreuznach,49.8333,7.8667,48.99,45,46,5.75,DE,1619382488
541,alugan,12.2188,125.4808,77.45,83,100,8.52,PH,1619382463
542,ati,13.2154,18.3353,90.34,14,95,1.57,TD,1619382367
543,banbury,52.0602,-1.3403,44.01,74,89,3.0,GB,1619382489
544,moron,-34.6534,-58.6198,66.0,75,99,1.99,AR,1619382489
545,saint anthony,45.0205,-93.218,44.6,45,90,10.36,US,1619382489
546,sri aman,1.2376,111.4621,75.2,94,93,0.6,MY,1619382489
547,bereda,43.2686,-7.5406,57.0,100,100,5.01,ES,1619382490
548,chipata,-13.6333,32.65,64.08,83,83,4.94,ZM,1619382293
549,manta,-0.95,-80.7333,82.4,69,40,13.8,EC,1619382490
550,la brea,15.8,-85.9667,87.8,70,20,3.44,HN,1619382490
551,shubarshi,48.5872,57.1869,52.0,81,100,5.28,KZ,1619382490
552,wamba,8.9333,8.6,75.74,80,100,6.64,NG,1619382491
553,gujar khan,33.2558,73.3026,71.01,53,1,4.18,PK,1619382491
554,bima,-8.4667,118.7167,74.07,93,28,3.62,ID,1619382491
555,angoche,-16.2325,39.9086,76.41,85,92,4.23,MZ,1619382491
556,raudeberg,61.9875,5.1352,39.99,67,49,12.01,NO,1619382491
557,hibbing,47.4272,-92.9377,46.4,25,40,12.66,US,1619382492
558,guiratinga,-16.3494,-53.7583,77.41,56,100,4.45,BR,1619382492
559,mayumba,-3.432,10.6554,79.03,86,34,2.62,GA,1619382492
560,mogadishu,2.0371,45.3438,83.44,75,98,12.26,SO,1619382265
561,mountain home,43.133,-115.6912,46.4,55,75,10.36,US,1619382492
562,mildura,-34.2,142.15,44.6,93,0,8.43,AU,1619382493
563,gobabis,-22.45,18.9667,64.53,25,0,10.6,NA,1619382493
564,kelo,9.3086,15.8066,90.41,36,41,4.88,TD,1619382493
565,suhum,6.0409,-0.45,84.2,84,20,11.5,GH,1619382493
566,safranbolu,41.2508,32.6942,52.07,96,100,2.84,TR,1619382493
567,peniche,39.3558,-9.3811,60.01,90,21,5.01,PT,1619382430
568,shahrud,36.4182,54.9763,69.8,47,80,3.15,IR,1619382494
569,koungheul,13.9833,-14.8,94.75,14,8,6.82,SN,1619382494
570,shouguang,36.88,118.7375,50.76,47,97,2.82,CN,1619382494
571,san juan,-31.5375,-68.5364,73.67,32,0,2.77,AR,1619382494
572,palu,-0.8917,119.8707,75.29,91,100,3.65,ID,1619382495
573,ploiesti,44.95,26.0167,55.0,71,0,5.75,RO,1619382495
574,natitingou,10.3042,1.3796,84.38,46,43,4.21,BJ,1619382495
575,talara,-4.5772,-81.2719,82.4,57,0,13.8,PE,1619382495
576,miles city,46.4083,-105.8406,55.4,47,75,6.91,US,1619382495
577,leeston,-43.7667,172.3,43.0,39,96,3.0,NZ,1619382496
578,kayes,14.0,-11.0,100.24,12,0,4.88,ML,1619382496
579,rongcheng,30.634,117.8517,59.2,96,100,1.83,CN,1619382496
580,dengfeng,34.4553,113.0281,49.08,89,78,3.87,CN,1619382496
